AnimalID,Location,Haplotype
2623,Philippines,32
5562,Philippines,34
9538,TAIWAN,13
9539,TAIWAN,36
9540,TAIWAN,9
9541,TAIWAN,35
13843,Korea,8
18534,MHI,1
18535,MHI,1
18536,MHI,1
18949,MHI,2
18950,MHI,1
18957,MHI,1
18958,MHI,3
18959,MHI,2
18960,MHI,2
18961,MHI,1
23314,MHI,2
23315,MHI,2
23325,MHI,2
23326,MHI,3
27402,MHI,4
27403,MHI,4
27413,MHI,1
27414,MHI,4
27419,MHI,5
27420,MHI,1
27421,MHI,1
27422,MHI,2
27423,MHI,2
27424,MHI,1
27425,MHI,1
27446,MHI,6
27447,MHI,7
27448,MHI,4
27449,MHI,6
27450,MHI,4
27451,MHI,6
30425,NWHI,2
30426,NWHI,8
30427,NWHI,4
30428,NWHI,1
30484,MHI,1
30495,MHI,9
30496,MHI,9
30497,MHI,9
30498,MHI,2
30499,MHI,10
33729,MHI,3
33771,MHI,2
33773,MHI,11
33779,MHI,2
33780,MHI,3
33785,MHI,2
33788,MHI,2
33789,MHI,3
33790,MHI,3
33818,MHI,2
33845,MHI,6
33846,MHI,2
33847,MHI,6
33848,MHI,2
33864,MHI,12
33865,MHI,4
33866,MHI,1
33867,MHI,1
33868,MHI,1
33869,MHI,12
33870,MHI,4
33871,MHI,13
33872,MHI,12
33873,MHI,4
33874,MHI,1
33875,MHI,1
33876,MHI,13
33877,MHI,1
33894,MHI,4
33896,MHI,1
33897,MHI,1
33900,MHI,4
33921,MHI,2
33922,MHI,13
33923,MHI,4
33924,MHI,13
33925,MHI,1
33943,MHI,2
33944,MHI,2
33945,MHI,2
33946,MHI,2
33947,MHI,14
33950,MHI,15
33951,MHI,1
33952,MHI,2
33953,MHI,4
33954,MHI,12
33960,MHI,12
33961,MHI,4
33962,MHI,1
33963,MHI,1
33967,MHI,12
33973,MHI,2
33974,MHI,1
33978,MHI,3
34019,MHI,17
34025,MHI,19
34026,MHI,17
34028,MHI,3
34029,MHI,1
34030,MHI,4
34031,MHI,17
34032,MHI,1
34033,MHI,1
34035,MHI,4
34036,MHI,1
34037,MHI,2
34066,MHI,20
34069,MHI,8
34070,MHI,13
34074,MHI,4
35852,MHI,12
35857,MHI,6
45924,MHI,12
45949,MHI,1
45977,MHI,3
47055,MHI,19
47073,MHI,1
47074,MHI,4
47075,MHI,5
47076,MHI,1
47078,MHI,5
47305,MHI,4
47693,MHI,4
47702,MHI,6
47708,MHI,3
51018,MHI,4
51021,MHI,2
51022,MHI,2
51039,MHI,26
51040,MHI,1
51041,MHI,18
51066,MHI,1
51067,MHI,3
51068,MHI,4
51069,MHI,4
51070,MHI,1
51071,MHI,2
51072,MHI,12
51073,MHI,3
51074,MHI,4
51075,MHI,3
51076,MHI,12
51077,MHI,6
51087,MHI,4
51092,MHI,1
53753,Pelagic,30
53946,MHI,6
53952,MHI,4
55189,MHI,27
55190,MHI,28
55202,MHI,9
55203,MHI,13
55204,MHI,4
55205,MHI,13
55249,MHI,1
55250,MHI,1
55252,MHI,13
55253,MHI,4
61428,MHI,1
61429,MHI,1
61430,MHI,1
61442,MHI,6
61443,MHI,6
67596,Pelagic,29
71010,MHI,4
71011,MHI,4
71012,MHI,7
71013,MHI,1
71019,MHI,1
75651,MHI,13
75652,MHI,20
75653,MHI,20
78742,MHI,4
78758,MHI,4
75667,MHI,3
71009,MHI,1
78826,MHI,12
78827,MHI,6
79982,MHI,1
79998,MHI,4
88612,MHI,13
92252,MHI,31
92257,MHI,4
92259,MHI,1
102380,NWHI,12
102381,NWHI,6
102382,NWHI,2
102383,NWHI,6
102384,NWHI,12
102385,NWHI,2
102386,NWHI,1
102387,NWHI,3
102389,NWHI,5
102390,NWHI,3
102391,NWHI,3
102392,NWHI,37
102394,NWHI,6
102395,NWHI,6
102396,NWHI,6
102397,NWHI,6
102398,NWHI,1
102399,NWHI,12
102400,NWHI,2
102401,NWHI,6
102402,NWHI,6
102403,NWHI,3
102404,NWHI,6
102405,NWHI,3
102406,NWHI,38
102422,NWHI,1
102423,NWHI,6
102424,NWHI,4
102425,NWHI,19
102427,NWHI,12
102428,NWHI,4
102429,NWHI,19
102482,MHI,13
103984,MHI,4
103985,MHI,4
103986,MHI,4
104021,MHI,1
104022,MHI,1
104035,CNMI - Guam,32
104067,CNMI - Saipan,34
104070,CNMI - Saipan,32
107857,MHI,1
107859,MHI,1
108171,CNMI - Rota,32
108172,CNMI - Rota,32
108183,CNMI - Aguijan,39
113578,MHI,1
113652,MHI,1
114559,MHI,6
114560,MHI,9
114561,MHI,13
114562,MHI,3
114563,MHI,19
114941,NWHI,1
114942,NWHI,19
114943,NWHI,4
114944,NWHI,3
114958,NWHI,6
114961,NWHI,26
114962,NWHI,4
116858,CNMI - Rota,32
116866,CNMI - Saipan,32
116869,CNMI - Saipan,32
116881,CNMI - Saipan,33
123357,NWHI,1
123359,NWHI,3
123364,NWHI,3
123365,NWHI,26
123366,NWHI,4
123372,NWHI,13
123373,NWHI,2
123374,NWHI,6
123376,NWHI,5
123377,NWHI,6
123380,NWHI,6
133152,MHI,4
133153,MHI,1
133157,MHI,16
133158,MHI,2
133159,MHI,4
133162,MHI,1
133163,MHI,1
133164,MHI,6
133165,MHI,6
133166,MHI,13
133167,MHI,12
133181,MHI,13
133182,MHI,1
133183,MHI,2
133184,MHI,4
133185,MHI,12
133186,MHI,6
133193,MHI,4
104066,CNMI,Lh1
108207,CNMI,Lh1
108208,CNMI,Lh1
116867,CNMI,Lh1
116868,CNMI,Lh1
