LabID,D08t_A,D08t_B,D5t_A,D5t_B,EV94t_A,EV94t_B,KWM12at_A,KWM12at_B,KWM1bt_A,KWM1bt_B,KWM2at_A,KWM2at_B,KWM2bt_A,KWM2bt_B,SL125t_A,SL125t_B,Ttr11_A,Ttr11_B,Ttr34_A,Ttr34_B,Ttr48_A,Ttr48_B,Ttr58_A,Ttr58_B,TV5t_A,TV5t_B,TV7t_A,TV7t_B
394,101,101,142,146,258,260,153,179,192,194,151,157,176,180,218,224,208,214,178,182,137,141,178,190,217,229,161,169
399,101,137,142,144,236,244,177,187,192,194,151,152,180,180,218,234,204,212,178,180,139,141,180,190,221,221,161,169
452,91,101,,,232,260,177,179,194,196,151,152,180,180,218,240,212,216,178,178,145,147,178,178,195,201,161,169
453,101,101,140,140,224,258,179,179,194,194,151,157,170,176,218,240,190,198,178,180,139,143,178,190,221,229,161,169
454,91,101,142,146,224,246,179,179,192,192,151,151,180,180,212,244,198,212,178,178,139,143,180,190,221,221,161,169
2595,113,113,134,142,242,246,175,177,,,148,159,180,182,218,224,208,216,182,184,131,133,178,186,207,211,165,165
2599,119,119,142,142,232,232,175,193,192,194,151,151,180,180,218,234,204,208,176,178,135,143,180,190,217,217,,
2601,101,119,146,146,224,226,177,179,192,194,148,151,180,180,218,234,202,218,176,178,137,143,180,180,221,225,161,161
2623,111,117,142,142,248,252,173,177,192,192,153,153,180,180,218,218,212,214,184,188,133,137,186,186,211,215,161,165
5556,103,119,142,146,254,256,153,175,,,148,151,180,180,218,220,212,218,178,180,139,141,178,180,201,217,161,169
5559,99,101,142,142,224,260,153,179,194,194,151,151,180,180,218,234,210,214,178,180,139,143,190,190,217,225,169,169
5560,113,115,128,142,252,252,165,179,192,192,151,155,180,182,220,222,210,214,184,186,129,133,178,186,207,209,161,169
5562,115,115,140,142,248,252,173,179,192,192,151,155,180,180,,,210,214,184,184,121,133,178,178,209,215,165,169
7452,103,139,142,146,226,236,179,187,192,194,151,151,180,180,218,230,208,208,178,180,139,145,178,180,217,225,163,169
9538,115,115,138,140,246,260,179,179,192,194,155,155,180,184,216,218,210,212,184,192,129,135,178,184,209,213,169,169
9539,109,115,138,138,246,248,173,173,194,194,148,157,176,180,216,220,212,214,184,194,129,133,184,184,205,217,165,169
9541,109,111,140,142,246,248,173,177,192,194,148,153,176,184,216,228,208,216,184,184,129,135,190,192,205,219,165,169
9553,101,127,140,146,236,258,177,177,192,200,151,165,176,176,218,220,208,214,176,180,141,145,178,190,217,225,161,161
9554,101,121,140,146,224,230,177,177,192,194,146,157,176,180,212,218,202,212,176,178,145,145,178,178,221,229,161,169
