LabID,All,All_Fine,All_Fine_prior,Pop_Flag_CNMI,ALL_Prior,AS183_Ttru,AS179_Lhos,Ttru_HI_Arch
394,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
399,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
452,ETP,1,Lhos,1,1,,ETP,
453,ETP,1,Lhos,1,1,,ETP,
454,ETP,1,Lhos,1,1,,ETP,
2595,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
2599,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
2601,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
2623,PHILIPPINES,11,Ttru,1,1,PHILIPPINES,,
5556,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
5559,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
5560,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
5562,PHILIPPINES,11,Ttru,1,1,PHILIPPINES,,
7452,PHILIPPINES,4,Lhos,1,1,,PHILIPPINES,
9538,TAIWAN,12,Ttru,1,1,TAIWAN,,
9539,TAIWAN,12,Ttru,1,1,TAIWAN,,
9541,TAIWAN,12,Ttru,1,1,TAIWAN,,
9553,TAIWAN,5,Lhos,1,1,,TAIWAN,
9554,TAIWAN,5,Lhos,1,1,,TAIWAN,
9555,TAIWAN,5,Lhos,1,1,,TAIWAN,
9846,MALDIVES,3,Lhos,1,1,,MALDIVES,
9867,MALDIVES,3,Lhos,1,1,,MALDIVES,
9868,MALDIVES,3,Lhos,1,1,,MALDIVES,
13843,Korea,7,Ttru,1,1,Korea,,
15529,ETP,1,Lhos,1,1,,ETP,
30468,HI,2,Lhos,1,1,,HI,
30469,HI,2,Lhos,1,1,,HI,
30470,HI,2,Lhos,1,1,,HI,
34024,MHI,8,Ttru,1,1,MHI,,MHI
40922,MALDIVES,3,Lhos,1,1,,MALDIVES,
45948,MHI,8,Ttru,1,1,MHI,,MHI
51018,MHI,8,Ttru,1,1,MHI,,MHI
51021,MHI,8,Ttru,1,1,MHI,,MHI
51022,MHI,8,Ttru,1,1,MHI,,MHI
51039,MHI,8,Ttru,1,1,MHI,,MHI
