AnimalID,All,Fine,CNMI_Other,STRUCTURE_strata
394,Lhos,PHILIPPINES,Lhos,Lhos
395,Lhos,PHILIPPINES,Lhos,Lhos
399,Lhos,PHILIPPINES,Lhos,Lhos
452,Lhos,NORTH PACIFIC,Lhos,Lhos
453,Lhos,NORTH PACIFIC,Lhos,Lhos
454,Lhos,NORTH PACIFIC,Lhos,Lhos
2594,Lhos,PHILIPPINES,Lhos,Lhos
2595,Lhos,PHILIPPINES,Lhos,Lhos
2596,Lhos,PHILIPPINES,Lhos,Lhos
2597,Lhos,PHILIPPINES,Lhos,Lhos
2598,Lhos,PHILIPPINES,Lhos,Lhos
2599,Lhos,PHILIPPINES,Lhos,Lhos
2600,Lhos,PHILIPPINES,Lhos,Lhos
2601,Lhos,PHILIPPINES,Lhos,Lhos
2602,Lhos,PHILIPPINES,Lhos,Lhos
2604,Lhos,PHILIPPINES,Lhos,Lhos
2606,Lhos,PHILIPPINES,Lhos,Lhos
2607,Lhos,PHILIPPINES,Lhos,Lhos
2646,Lhos,PHILIPPINES,Lhos,Lhos
2648,Lhos,PHILIPPINES,Lhos,Lhos
2651,Lhos,PHILIPPINES,Lhos,Lhos
2653,Lhos,PHILIPPINES,Lhos,Lhos
2654,Lhos,PHILIPPINES,Lhos,Lhos
2660,Lhos,PHILIPPINES,Lhos,Lhos
2671,Lhos,PHILIPPINES,Lhos,Lhos
5553,Lhos,PHILIPPINES,Lhos,Lhos
5554,Lhos,PHILIPPINES,Lhos,Lhos
5555,Lhos,PHILIPPINES,Lhos,Lhos
5556,Lhos,PHILIPPINES,Lhos,Lhos
5557,Lhos,PHILIPPINES,Lhos,Lhos
5558,Lhos,PHILIPPINES,Lhos,Lhos
5559,Lhos,PHILIPPINES,Lhos,Lhos
5560,Lhos,PHILIPPINES,Lhos,Lhos
5561,Lhos,PHILIPPINES,Lhos,Lhos
7452,Lhos,PHILIPPINES,Lhos,Lhos
9553,Lhos,TAIWAN,Lhos,Lhos
9554,Lhos,TAIWAN,Lhos,Lhos
9555,Lhos,TAIWAN,Lhos,Lhos
9846,Lhos,MALDIVES,Lhos,Lhos
9867,Lhos,MALDIVES,Lhos,Lhos
9868,Lhos,MALDIVES,Lhos,Lhos
15529,Lhos,ETP,Lhos,Lhos
18929,Lhos,Australia,Lhos,Lhos
18930,Lhos,Australia,Lhos,Lhos
23193,Lhos,Australia,Lhos,Lhos
30468,Lhos,"USA, HI",Lhos,Lhos
30469,Lhos,"USA, HI",Lhos,Lhos
30470,Lhos,"USA, HI",Lhos,Lhos
30471,Lhos,"USA, HI",Lhos,Lhos
40922,Lhos,MALDIVES,Lhos,Lhos
125679,Lhos,PHILIPPINES,Lhos,Lhos
136815,Lhos,PHILIPPINES,Lhos,Lhos
136816,Lhos,PHILIPPINES,Lhos,Lhos
136818,Lhos,PHILIPPINES,Lhos,Lhos
136819,Lhos,,Lhos,Lhos
