"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"2623","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"5562","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"9538","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"9539","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"9540","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"9541","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"13843","All",NA,"WPac",NA,NA,"Ttru",NA,"WPac"
"18534","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"18535","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"18536","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"18949","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18950","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18957","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18958","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18959","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18960","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"18961","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"23314","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"23315","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"23325","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"23326","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27402","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"27403","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"27413","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"27414","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"27419","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27420","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27421","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27422","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27423","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27424","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27425","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"27446","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"27447","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"27448","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"27449","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"27450","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"27451","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"30425","All","NWHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"30426","All","NWHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"30427","All","NWHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"30428","All","NWHI","HIArch","Pelagic","HIArch","Ttru",NA,"HIArch"
"30484","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"30495","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
